permeability, porosity
5.7346243e-12, 1.0505862e-01
8.2807999e-12, 1.1869784e-01
7.2467469e-12, 1.0342082e-01
8.6414854e-12, 1.8672535e-01
3.4418124e-12, 2.5364659e-02
5.2223957e-12, 1.2755955e-01
1.9378309e-12, 2.9509743e-02
2.5948067e-12, 7.0738688e-02
9.8309644e-12, 4.5417227e-02
2.1490986e-12, 7.3433791e-02
3.2470995e-12, 6.9809604e-02
5.3161542e-12, 1.6040674e-01
9.9607184e-12, 2.1567059e-01
4.4569601e-11, 3.6604483e-01
2.9802362e-12, 6.0096066e-03
1.1795796e-11, 1.8142916e-01
4.4817919e-11, 4.3500742e-01
2.4682249e-11, 2.5266370e-01
8.2353747e-12, 1.2186655e-01
2.4125635e-11, 1.1107015e-01
5.4333166e-12, 3.4122388e-02
4.5433930e-12, 1.0874558e-01
1.8401052e-11, 2.1614392e-01
2.5071192e-12, 8.8614869e-02
1.8036558e-12, 3.8061855e-02
1.3906183e-11, 3.7317680e-01
5.7436723e-12, 9.7046609e-02
6.4337506e-12, 5.5524132e-02
1.3532921e-11, 2.1977804e-01
1.0105921e-11, 1.9138770e-01
4.8939998e-12, 1.2056416e-01
1.2877761e-11, 2.4641129e-01
1.5632696e-12, 3.2702916e-02
6.6490498e-12, 1.0821624e-01
5.4397942e-12, 5.0927657e-02
1.3034059e-11, 1.6521585e-01
5.1454766e-12, 1.5585209e-01
4.3256463e-12, 1.0162997e-01
1.6096669e-11, 2.1223838e-01
